game_id,date_game,game_start_time,visitor_team_name,visitor_pts,home_team_name,home_pts,overtimes,attendance,game_remarks,game_type
201610250CLE,2016-10-25,7:30p,New York Knicks,88,Cleveland Cavaliers,117,,20562,,Regular
201610250POR,2016-10-25,10:00p,Utah Jazz,104,Portland Trail Blazers,113,,19446,,Regular
201610250GSW,2016-10-25,10:30p,San Antonio Spurs,129,Golden State Warriors,100,,19596,,Regular
201610260IND,2016-10-26,7:00p,Dallas Mavericks,121,Indiana Pacers,130,OT,17923,,Regular
201610260ORL,2016-10-26,7:00p,Miami Heat,108,Orlando Magic,96,,19298,,Regular
201610260BOS,2016-10-26,7:30p,Brooklyn Nets,117,Boston Celtics,122,,18624,,Regular
201610260TOR,2016-10-26,7:30p,Detroit Pistons,91,Toronto Raptors,109,,19800,,Regular
201610260NOP,2016-10-26,8:00p,Denver Nuggets,107,New Orleans Pelicans,102,,15869,,Regular
201610260MIL,2016-10-26,8:00p,Charlotte Hornets,107,Milwaukee Bucks,96,,18717,,Regular
201610260MEM,2016-10-26,8:00p,Minnesota Timberwolves,98,Memphis Grizzlies,102,,18119,,Regular
201610260PHI,2016-10-26,8:00p,Oklahoma City Thunder,103,Philadelphia 76ers,97,,20487,,Regular
201610260PHO,2016-10-26,10:00p,Sacramento Kings,113,Phoenix Suns,94,,18055,,Regular
201610260LAL,2016-10-26,10:30p,Houston Rockets,114,Los Angeles Lakers,120,,18997,,Regular
201610270ATL,2016-10-27,7:30p,Washington Wizards,99,Atlanta Hawks,114,,19049,,Regular
201610270CHI,2016-10-27,8:00p,Boston Celtics,99,Chicago Bulls,105,,21501,,Regular
201610270POR,2016-10-27,10:30p,Los Angeles Clippers,114,Portland Trail Blazers,106,,19500,,Regular
201610270SAC,2016-10-27,10:30p,San Antonio Spurs,102,Sacramento Kings,94,,17608,,Regular
201610280TOR,2016-10-28,7:00p,Cleveland Cavaliers,94,Toronto Raptors,91,,19800,,Regular
201610280BRK,2016-10-28,7:30p,Indiana Pacers,94,Brooklyn Nets,103,,17732,,Regular
201610280DET,2016-10-28,7:30p,Orlando Magic,82,Detroit Pistons,108,,19122,,Regular
201610280OKC,2016-10-28,8:00p,Phoenix Suns,110,Oklahoma City Thunder,113,OT,18203,,Regular
201610280MIA,2016-10-28,8:00p,Charlotte Hornets,97,Miami Heat,91,,19600,,Regular
201610280DAL,2016-10-28,8:30p,Houston Rockets,106,Dallas Mavericks,98,,20163,,Regular
201610280UTA,2016-10-28,9:00p,Los Angeles Lakers,89,Utah Jazz,96,,19911,,Regular
201610280NOP,2016-10-28,9:30p,Golden State Warriors,122,New Orleans Pelicans,114,,18217,,Regular
201610290PHI,2016-10-29,12:30p,Atlanta Hawks,104,Philadelphia 76ers,72,,16312,,Regular
201610290CHO,2016-10-29,7:00p,Boston Celtics,104,Charlotte Hornets,98,,18708,,Regular
201610290CLE,2016-10-29,7:30p,Orlando Magic,99,Cleveland Cavaliers,105,,20562,,Regular
201610290NYK,2016-10-29,7:30p,Memphis Grizzlies,104,New York Knicks,111,,19812,,Regular
201610290SAS,2016-10-29,8:00p,New Orleans Pelicans,79,San Antonio Spurs,98,,18418,,Regular
201610290MIL,2016-10-29,8:00p,Brooklyn Nets,108,Milwaukee Bucks,110,,12570,,Regular
201610290CHI,2016-10-29,8:00p,Indiana Pacers,101,Chicago Bulls,118,,21373,,Regular
201610290DEN,2016-10-29,9:00p,Portland Trail Blazers,115,Denver Nuggets,113,OT,18055,,Regular
201610290SAC,2016-10-29,10:30p,Minnesota Timberwolves,103,Sacramento Kings,106,,17608,,Regular
201610300LAC,2016-10-30,4:30p,Utah Jazz,75,Los Angeles Clippers,88,,19060,,Regular
201610300DET,2016-10-30,6:00p,Milwaukee Bucks,83,Detroit Pistons,98,,15161,,Regular
201610300PHO,2016-10-30,6:00p,Golden State Warriors,106,Phoenix Suns,100,,17011,,Regular
201610300MIA,2016-10-30,6:00p,San Antonio Spurs,106,Miami Heat,99,,19678,,Regular
201610300OKC,2016-10-30,7:00p,Los Angeles Lakers,96,Oklahoma City Thunder,113,,18203,,Regular
201610300MEM,2016-10-30,8:00p,Washington Wizards,103,Memphis Grizzlies,112,OT,15573,,Regular
201610300HOU,2016-10-30,8:00p,Dallas Mavericks,92,Houston Rockets,93,,18055,,Regular
201610310ATL,2016-10-31,7:30p,Sacramento Kings,95,Atlanta Hawks,106,,12501,,Regular
201610310BRK,2016-10-31,7:30p,Chicago Bulls,118,Brooklyn Nets,88,,15842,,Regular
201610310TOR,2016-10-31,7:30p,Denver Nuggets,102,Toronto Raptors,105,,19800,,Regular
201610310LAC,2016-10-31,10:30p,Phoenix Suns,98,Los Angeles Clippers,116,,19060,,Regular
201611010CLE,2016-11-01,6:00p,Houston Rockets,120,Cleveland Cavaliers,128,,20562,,Regular
201611010IND,2016-11-01,7:00p,Los Angeles Lakers,108,Indiana Pacers,115,,15348,,Regular
201611010PHI,2016-11-01,7:00p,Orlando Magic,103,Philadelphia 76ers,101,,12529,,Regular
201611010DET,2016-11-01,7:30p,New York Knicks,89,Detroit Pistons,102,,13087,,Regular
201611010MIA,2016-11-01,7:30p,Sacramento Kings,96,Miami Heat,108,OT,19612,,Regular
201611010MIN,2016-11-01,8:00p,Memphis Grizzlies,80,Minnesota Timberwolves,116,,14774,,Regular
201611010NOP,2016-11-01,8:00p,Milwaukee Bucks,117,New Orleans Pelicans,113,,15515,,Regular
201611010SAS,2016-11-01,8:30p,Utah Jazz,106,San Antonio Spurs,91,,18418,,Regular
201611010POR,2016-11-01,10:00p,Golden State Warriors,127,Portland Trail Blazers,104,,19393,,Regular
201611020CHO,2016-11-02,7:00p,Philadelphia 76ers,93,Charlotte Hornets,109,,15275,,Regular
201611020WAS,2016-11-02,7:00p,Toronto Raptors,113,Washington Wizards,103,,19581,,Regular
201611020ATL,2016-11-02,7:30p,Los Angeles Lakers,123,Atlanta Hawks,116,,13800,,Regular
201611020BRK,2016-11-02,7:30p,Detroit Pistons,101,Brooklyn Nets,109,,13650,,Regular
201611020NYK,2016-11-02,7:30p,Houston Rockets,118,New York Knicks,99,,19812,,Regular
201611020BOS,2016-11-02,8:00p,Chicago Bulls,100,Boston Celtics,107,,18624,,Regular
201611020MEM,2016-11-02,8:00p,New Orleans Pelicans,83,Memphis Grizzlies,89,OT,15881,,Regular
201611020UTA,2016-11-02,9:00p,Dallas Mavericks,81,Utah Jazz,97,,19318,,Regular
201611020PHO,2016-11-02,10:00p,Portland Trail Blazers,115,Phoenix Suns,118,OT,17284,,Regular
201611020LAC,2016-11-02,10:30p,Oklahoma City Thunder,85,Los Angeles Clippers,83,,19060,,Regular
201611030ORL,2016-11-03,7:00p,Sacramento Kings,94,Orlando Magic,102,,17026,,Regular
201611030CLE,2016-11-03,8:00p,Boston Celtics,122,Cleveland Cavaliers,128,,20562,,Regular
201611030MIL,2016-11-03,8:00p,Indiana Pacers,107,Milwaukee Bucks,125,,11374,,Regular
201611030MIN,2016-11-03,8:00p,Denver Nuggets,102,Minnesota Timberwolves,99,,11219,,Regular
201611030GSW,2016-11-03,10:30p,Oklahoma City Thunder,96,Golden State Warriors,122,,19596,,Regular
201611040WAS,2016-11-04,7:00p,Atlanta Hawks,92,Washington Wizards,95,,14663,,Regular
201611040BRK,2016-11-04,7:30p,Charlotte Hornets,99,Brooklyn Nets,95,,15775,,Regular
201611040TOR,2016-11-04,7:30p,Miami Heat,87,Toronto Raptors,96,,19800,,Regular
201611040CHI,2016-11-04,8:00p,New York Knicks,117,Chicago Bulls,104,,22376,,Regular
201611040MEM,2016-11-04,8:00p,Los Angeles Clippers,99,Memphis Grizzlies,88,,17115,,Regular
201611040NOP,2016-11-04,8:00p,Phoenix Suns,112,New Orleans Pelicans,111,OT,15379,,Regular
201611040DAL,2016-11-04,8:30p,Portland Trail Blazers,105,Dallas Mavericks,95,,19475,,Regular
201611040UTA,2016-11-04,9:00p,San Antonio Spurs,100,Utah Jazz,86,,19911,,Regular
201611040LAL,2016-11-04,10:30p,Golden State Warriors,97,Los Angeles Lakers,117,,18997,,Regular
201611050OKC,2016-11-05,6:00p,Minnesota Timberwolves,92,Oklahoma City Thunder,112,,18203,,Regular
201611050DET,2016-11-05,7:00p,Denver Nuggets,86,Detroit Pistons,103,,16218,,Regular
201611050IND,2016-11-05,7:00p,Chicago Bulls,94,Indiana Pacers,111,,17020,,Regular
201611050ORL,2016-11-05,7:00p,Washington Wizards,86,Orlando Magic,88,,18846,,Regular
201611050PHI,2016-11-05,7:00p,Cleveland Cavaliers,102,Philadelphia 76ers,101,,20497,,Regular
201611050ATL,2016-11-05,7:30p,Houston Rockets,97,Atlanta Hawks,112,,16895,,Regular
201611050MIL,2016-11-05,8:00p,Sacramento Kings,91,Milwaukee Bucks,117,,16021,,Regular
201611050SAS,2016-11-05,8:30p,Los Angeles Clippers,116,San Antonio Spurs,92,,18418,,Regular
201611060NYK,2016-11-06,12:00p,Utah Jazz,114,New York Knicks,109,,19812,,Regular
