date_game,team_name,pts,game_type,attendance,distance,win
2016-10-26,Dallas Mavericks,121,Regular,17923,735.2300358271643,0
2016-10-26,Miami Heat,108,Regular,19298,87.58216166537872,1
2016-10-26,Brooklyn Nets,117,Regular,18624,202.37612096739733,0
2016-10-26,Detroit Pistons,91,Regular,19800,253.43161307988422,0
2016-10-26,Denver Nuggets,107,Regular,15869,1030.8732239979379,1
2016-10-26,Charlotte Hornets,107,Regular,18717,489.77299521886687,1
2016-10-26,Minnesota Timberwolves,98,Regular,18119,320.4520395263221,0
2016-10-26,Oklahoma City Thunder,103,Regular,20487,1513.8267400864577,1
2016-10-26,Sacramento Kings,113,Regular,18055,669.6699215203505,1
2016-10-26,Houston Rockets,114,Regular,18997,1581.7156935967032,0
2016-10-27,Washington Wizards,99,Regular,19049,NA,0
2016-10-27,Boston Celtics,99,Regular,21501,1144.9579227386237,0
2016-10-27,Los Angeles Clippers,114,Regular,19500,503.47648793610904,1
2016-10-27,San Antonio Spurs,102,Regular,17608,1599.1537410909004,1
2016-10-28,Cleveland Cavaliers,94,Regular,19800,161.52559664946557,1
2016-10-28,Indiana Pacers,94,Regular,17732,842.3143690726679,0
2016-10-28,Orlando Magic,82,Regular,19122,172.24339405820282,0
2016-10-28,Phoenix Suns,110,Regular,18203,1035.3686944143815,0
2016-10-28,Charlotte Hornets,97,Regular,19600,116.59708203411614,1
2016-10-28,Houston Rockets,106,Regular,20163,101.02056568544948,1
2016-10-28,Los Angeles Lakers,89,Regular,19911,516.4055695897271,0
2016-10-28,Golden State Warriors,122,Regular,18217,2027.6980403923924,1
2016-10-29,Atlanta Hawks,104,Regular,16312,640.8523388599236,1
2016-10-29,Boston Celtics,104,Regular,18708,685.2810453574739,1
2016-10-29,Orlando Magic,99,Regular,20562,133.2924379107118,0
2016-10-29,Memphis Grizzlies,104,Regular,19812,1108.4606569944292,0
2016-10-29,New Orleans Pelicans,79,Regular,18418,581.9175834155446,0
2016-10-29,Brooklyn Nets,108,Regular,12570,964.8531487085219,0
2016-10-29,Indiana Pacers,101,Regular,21373,103.45581418841294,0
2016-10-29,Portland Trail Blazers,115,Regular,18055,1231.0818776055453,1
2016-10-29,Minnesota Timberwolves,103,Regular,17608,1856.087050883485,0
2016-10-30,Utah Jazz,75,Regular,19060,516.4055695897271,0
2016-10-30,Milwaukee Bucks,83,Regular,15161,335.8614184577708,0
2016-10-30,Golden State Warriors,106,Regular,17011,516.9824123342872,1
2016-10-30,San Antonio Spurs,106,Regular,19678,1263.898349894524,1
2016-10-30,Los Angeles Lakers,96,Regular,18203,1461.4845344014204,0
2016-10-30,Washington Wizards,103,Regular,15573,NA,0
2016-10-30,Dallas Mavericks,92,Regular,18055,101.02056568544948,0
2016-10-31,Sacramento Kings,95,Regular,12501,2562.6411392353148,0
2016-10-31,Chicago Bulls,118,Regular,15842,945.6361047738753,1
2016-10-31,Denver Nuggets,102,Regular,19800,1768.281028590068,0
2016-10-31,Phoenix Suns,98,Regular,19060,426.65342366647803,0
2016-11-01,Houston Rockets,120,Regular,20562,940.1433047770506,0
2016-11-01,Los Angeles Lakers,108,Regular,15348,2217.131722827423,0
2016-11-01,Orlando Magic,103,Regular,12529,456.27119453222474,1
2016-11-01,New York Knicks,89,Regular,13087,624.932089875135,0
2016-11-01,Sacramento Kings,96,Regular,19612,2840.4345001281845,0
2016-11-01,Memphis Grizzlies,80,Regular,14774,320.4520395263221,0
2016-11-01,Milwaukee Bucks,117,Regular,15515,149.4645727543302,1
2016-11-01,Utah Jazz,106,Regular,18418,884.8332869319886,1
2016-11-01,Golden State Warriors,127,Regular,19393,383.36731136214655,1
2016-11-02,Philadelphia 76ers,93,Regular,15275,397.8127723680988,0
2016-11-02,Toronto Raptors,113,Regular,19581,NA,1
2016-11-02,Los Angeles Lakers,123,Regular,13800,2339.224328288166,1
2016-11-02,Detroit Pistons,101,Regular,13650,629.2155409045711,0
