Date,Team,Acquired,Relinquised,Notes
2010-10-03,Bulls,,Carlos Boozer,fractured bone in right pinky finger (out indefinitely)
2010-10-06,Pistons,,Jonas Jerebko,torn right Acchilles tendon (out indefinitely)
2010-10-06,Pistons,,Terrico White,broken fifth metatarsal in right foot (out indefinitely)
2010-10-08,Blazers,,Jeff Pendergraph / Jeff Ayres,torn ACL in right knee (out indefinitely)
2010-10-08,Nets,,Troy Murphy,strained lower back (out indefinitely)
2010-10-08,Pistons,,Jonas Jerebko,surgery to repair torn right Achilles tendon
2010-10-08,Pistons,,Terrico White,surgery on right foot to repair broken fifth metatarsal
2010-10-09,Nuggets,,Al Harrington,partially torn plantar fascia in left foot (out indefinitely)
2010-10-12,Bucks,,Darington Hobson,surgery on left hip (out for season)
2010-10-12,Kings,,Samuel Dalembert,strained left groin (out indefinitely)
2010-10-17,Bobcats,,Dominic McGuire,stress fracture in left shin (out indefinitely)
2010-10-18,Warriors,,Louis Amundson / Lou Amundson,surgery to repair fractured right index finger (out indefinitely)
2010-10-19,Suns,,Josh Childress,fractured right index finger (out indefinitely)
2010-10-22,Heat,,Mike Miller,surgery on right hand to repair a broken thumb and ligament damage (out indefinitely)
2010-10-25,Thunder,,Nick Collison,left knee injury (out indefinitely)
2010-10-25,Timberwolves,,Martell Webster,surgery on back (out indefinitely)
2010-10-26,Heat,,Mario Chalmers,sprained ankle (out indefinitely)
2010-10-27,Bucks,,Jon Brockman,sprained left ankle (DNP)
2010-10-27,Bucks,,Luc Richard Mbah a Moute / Luc Mbah a Moute,sprained right ankle (DNP)
2010-10-28,Grizzlies,,Zach Randolph,back injury (DTD)
2010-10-28,Hawks,,Maurice Evans,right knee inflammation (DTD)
2010-10-28,Spurs,,Matt Bonner,sprained right ankle (DTD)
2010-10-29,Heat,Mario Chalmers,,returned to lineup
2010-10-29,Pistons,,Will Bynum,sore right hamstring (DNP)
2010-10-30,Pistons,,Will Bynum,sore right hamstring (DNP)
2010-11-02,Pistons,,Richard Hamilton,sore right foot (DNP)
2010-11-02,Pistons,,Will Bynum,sore right hamstring (DNP)
2010-11-03,Hawks,,Jamal Crawford,turf toe (DNP)
2010-11-03,Jazz,,Jeremy Evans,sprained right wrist (DNP)
2010-11-03,Jazz,,Kyrylo Fesenko,stomach illness (DNP)
2010-11-03,Nuggets,,Nene / Nene Hilario / Maybyner Hilario,strained left groin (DNP)
2010-11-03,Pistons,,Richard Hamilton,sore right foot (DNP)
2010-11-03,Pistons,,Will Bynum,sore right hamstring (DNP)
2010-11-03,Warriors,,Brandan Wright,stomach virus (DTD)
2010-11-04,Blazers,,Elliot Williams,"dislocated patella in right knee (surgery, out for season)"
2010-11-05,Bucks,,Andrew Bogut,migraine headache (DNP)
2010-11-05,Hawks,,Marvin Williams,bone bruise in right knee (DNP)
2010-11-05,Jazz,,Jeremy Evans,sprained right ankle (DNP)
2010-11-05,Nuggets,,Nene / Nene Hilario / Maybyner Hilario,strained left groin (DNP)
2010-11-06,Blazers,,Rudy Fernandez,back injury (DNP)
2010-11-06,Nuggets,,Nene / Nene Hilario / Maybyner Hilario,strained left groin (DNP)
2010-11-06,Raptors,,Sonny Weems,ankle injury (DTD)
2010-11-07,Hawks,,Marvin Williams,bone bruise in right knee (DNP)
2010-11-08,Hawks,,Marvin Williams,bone bruise in right knee (DNP)
2010-11-08,Magic,,Mickael Pietrus,DNP
2010-11-09,Bucks,,Carlos Delfino,strained neck (DNP)
2010-11-10,Bucks,,Carlos Delfino,strained neck (DNP)
2010-11-10,Clippers,,Chris Kaman,sprained left ankle (DNP)
2010-11-10,Hawks,,Marvin Williams,bone bruise in right knee (DNP)
2010-11-10,Raptors,,David Andersen,flu (DTD)
2010-11-10,Timberwolves,,Wayne Ellington,thigh injury (DTD)
2010-11-10,Clippers,,Eric Gordon,sore left shoulder (DNP)
2010-11-11,Celtics,,Jermaine O'Neal,sore left knee (DNP)
2010-11-11,Rockets,,Yao Ming,sprained left ankle (DTD)
2010-11-11,Spurs,,James Anderson,stress fracture in right foot (out indefinitely)
2010-11-11,Warriors,,David Lee,placed on IL with infection in left elbow
2010-11-12,Warriors,,David Lee,surgery on left elbow to repair infection
2010-11-12,Clippers,,Randy Foye,strained left hamstring (DNP)
2010-11-13,Bucks,,Carlos Delfino,strained neck (DNP)
2010-11-13,Celtics,,Jermaine O'Neal,sore left knee (DNP)
2010-11-13,Raptors,,Reggie Evans,flu-like symptoms (DNP)
2010-11-14,Rockets,,Chase Budinger,sprained left ankle (DNP)
2010-11-14,Timberwolves,,Nikola Pekovic,sprained left ankle (DNP)
2010-11-14,Timberwolves,,Wayne Ellington,bruised left thigh (DNP)
2010-11-15,Clippers,,Randy Foye,strained left hamstring (DNP)
2010-11-15,Jazz,,Raja Bell,strained left abductor (DNP)
2010-11-15,Timberwolves,,Nikola Pekovic,left foot injury (DNP)
2010-11-15,Timberwolves,,Wayne Ellington,bruised left thigh (DNP)
2010-11-16,Blazers,,Brandon Roy,sore left knee (DNP)
2010-11-16,Bucks,,Carlos Delfino,strained neck (DNP)
2010-11-17,Clippers,,Randy Foye,strained left hamstring (DNP)
2010-11-17,Jazz,,Kyrylo Fesenko,dizziness (DNP)
2010-11-17,Rockets,,Chase Budinger,sprained left ankle (DNP)
2010-11-18,Blazers,,Brandon Roy,sore left knee (DNP)
2010-11-18,Magic,,Jason Williams,foot injury (DTD)
2010-11-19,Blazers,,Greg Oden,mircofracture surgery on left knee (out for season)
2010-11-19,Bucks,,Carlos Delfino,strained neck (DNP)
2010-11-19,Heat,,Juwan Howard,broken nose (DNP)
2010-11-19,Knicks,,Timofey Mozgov,left calf injury (DNP)
2010-11-19,Warriors,,Brandan Wright,strained lower back (DNP)
2010-11-20,Blazers,,Brandon Roy,sore left knee (DNP)
2010-11-20,Bucks,,Carlos Delfino,strained neck (DNP)
2010-11-20,Suns,,Steve Nash,strained groin (DNP)
2010-11-21,Wizards,,John Wall (a),sprained left foot (DNP)
2010-11-22,Hornets,,Marcus Thornton (T.),DNP
2010-11-22,Warriors,,Brandan Wright,strained lower back (DNP)
2010-11-23,Heat,,Udonis Haslem,surgery on left foot to repair torn ligament (out for season)
2010-11-24,Bucks,,Andrew Bogut,sore back (DNP)
2010-11-24,Bucks,,Carlos Delfino,strained neck (DNP)
2010-11-24,Bulls,,Taj Gibson,right ankle/foot injury (DNP)
2010-11-24,Celtics,,Delonte West,broken right wrist (out indefinitely)
2010-11-24,Magic,Jason Williams,,returned to lineup
2010-11-24,Warriors,,Brandan Wright,strained lower back (DNP)
2010-11-26,Bucks,,Andrew Bogut,sore back (DNP)
2010-11-26,Bucks,,Carlos Delfino,strained neck (DNP)
2010-11-26,Raptors,,Reggie Evans,broken right foot (out indefinitely)
2010-11-26,Warriors,,Brandan Wright,strained lower back (DNP)
2010-11-27,Bucks,,Andrew Bogut,sore back (DNP)
2010-11-27,Bucks,,Corey Maggette,sore left ankle (DNP)
2010-11-27,Bucks,,Drew Gooden,plantar fasciitis in left foot (DNP)
2010-11-27,Wizards,,John Wall (a),bruised right knee (P) / sore left knee (CBC) (DNP)
2010-11-28,Blazers,,Sean Marks,sprained right ankle (DNP)
2010-11-28,Clippers,,Randy Foye,strained left hamstring (DNP)
2010-11-28,Knicks,,Toney Douglas,bruised right quadriceps (DNP)
2010-11-28,Lakers,,Devin Ebanks,gastroenteritis (DNP)
2010-11-28,Raptors,,Predrag Stojakovic / Peja Stojakovic,swollen left knee (DNP)
2010-11-28,Raptors,,Reggie Evans,broken right foot (DNP)
2010-11-29,Bucks,,Andrew Bogut,sore back (DNP)
2010-11-29,Bucks,,Corey Maggette,illness (DNP)
2010-11-29,Bucks,,Drew Gooden,left foot injury (DNP)
2010-11-29,Wizards,,John Wall (a),bruised right knee (P) (DNP)
2010-11-30,Celtics,,Delonte West,surgery to repair broken right wrist
2010-11-30,Knicks,Toney Douglas,,returned to lineup
2010-12-01,Bucks,,Andrew Bogut,sore back (DNP)
2010-12-01,Raptors,,Predrag Stojakovic / Peja Stojakovic,swollen left knee (DNP)
2010-12-02,Hawks,,Joe Johnson,arthroscopic surgery on right elbow to remove loose particle (out indefinitely)
2010-12-03,Hornets,,David West,stomach virus (DNP)
2010-12-03,Magic,,Dwight Howard,stomach virus (DNP)
2010-12-03,Magic,,Jameer Nelson,stomach virus (DNP)
2010-12-03,Raptors,,Predrag Stojakovic / Peja Stojakovic,swollen left knee (DNP)
2010-12-03,Magic,,J.J. Redick,stomach virus (DNP)
2010-12-04,Magic,,Dwight Howard,stomach virus (DNP)
2010-12-04,Magic,,J.J. Redick,stomach virus (DNP)
2010-12-04,Magic,,Jameer Nelson,stomach virus (DNP)
2010-12-04,Magic,,Ryan Anderson,sprained right foot (DNP)
2010-12-04,Timberwolves,,Michael Beasley,sprained right ankle (DNP)
2010-12-05,Celtics,,Rajon Rondo,strained hamstring (DNP)
2010-12-05,Raptors,,Predrag Stojakovic / Peja Stojakovic,sore/swollen left knee (DNP)
2010-12-05,Thunder,,D.J. White,sprained right ankle (DTD)
2010-12-05,Warriors,,Rodney Carney,sprained left foot (DTD)
2010-12-06,Magic,,Jameer Nelson,stomach flu (DNP)
2010-12-06,Bucks,,Drew Gooden,patella tendinitis in left foot (DNP)
2010-12-08,Celtics,Rajon Rondo,,returned to lineup
2010-12-08,Jazz,,Kyrylo Fesenko,sprained left ankle (DNP)
2010-12-08,Nuggets,,Carmelo Anthony,right knee inflammation (DNP)
2010-12-08,Raptors,,Predrag Stojakovic / Peja Stojakovic,swollen left knee (DNP)
2010-12-08,Timberwolves,,Darko Milicic,bruised right quadriceps (DNP)
2010-12-08,Wizards,,John Wall (a),sore left foot (DNP)
2010-12-09,Celtics,,Shaquille O'Neal,sore right calf (P) / sore left knee (CBC) (DNP)
2010-12-10,Bobcats,,Tyrus Thomas,quadriceps injury (DTD)
2010-12-10,Hawks,,Zaur Pachulia / Zaza Pachulia,illness (DTD)
2010-12-10,Jazz,,Raja Bell,groin injury (DTD)
2010-12-10,Raptors,,Jose Calderon,sore left foot (DTD)
2010-12-10,Thunder,,Nenad Krstic,back injury (DTD)
2010-12-10,Thunder,D.J. White,,returned to lineup
2010-12-10,Timberwolves,Darko Milicic,,returned to lineup
2010-12-10,Warriors,,Stephen Curry,sprained right ankle (DTD)
2010-12-11,Cavaliers,,Ryan Hollins,stomach virus (DTD)
2010-12-11,Jazz,,Kyrylo Fesenko,sprained left ankle (DNP)
2010-12-11,Jazz,,Raja Bell,strained right abductor (DNP)
2010-12-11,Nuggets,,Carmelo Anthony,right knee patella tendinitis (DNP)
2010-12-11,Raptors,,Predrag Stojakovic / Peja Stojakovic,swollen left knee (DNP)
2010-12-12,Magic,,Chris Duhon,strained lower back (DNP)
2010-12-13,Jazz,,Raja Bell,strained right abductor (DNP)
2010-12-13,Nets,,Damion James,surgery to insert screw to repair broken right foot (out indefinitely)
2010-12-14,Kings,,Tyreke Evans,left foot injury (DTD)
2010-12-14,Magic,,Mickael Pietrus,sprained left knee (DNP)
2010-12-14,Magic,,Quentin Richardson,sore left elbow (DNP)
2010-12-14,Nuggets,,Chauncey Billups,sprained right wrist (DNP)
2010-12-14,Raptors,,Predrag Stojakovic / Peja Stojakovic,swollen left knee (DNP)
2010-12-15,Bucks,,John Salmons,back spasms (DNP)
2010-12-15,Bulls,,Joakim Noah,torn ligament in right thumb (out indefinitely)
2010-12-15,Celtics,,Shaquille O'Neal,sore right calf (DNP)
2010-12-15,Raptors,,Andrea Bargnani,sore left knee (DNP)
2010-12-15,Raptors,,Predrag Stojakovic / Peja Stojakovic,swollen left knee (DNP)
2010-12-15,Wizards,,Yi Jianlian / Jianlian Yi,sprained right knee (out indefinitely)
2010-12-16,Bulls,,Joakim Noah,surgery on right thumb to repair torn ligament (out indefinitely)
2010-12-16,Celtics,,Rajon Rondo,sprained left ankle (DNP)
2010-12-16,Celtics,,Shaquille O'Neal,sore right calf (DNP)
2010-12-16,Nets,,Anthony Morrow,strained right hamstring (DNP)
2010-12-16,Nuggets,,Chauncey Billups,torn ligament in right wrist (DNP)
2010-12-16,Rockets,,Yao Ming,stress fracture in left ankle (out for season)
2010-12-16,Spurs,,Tiago Splitter,strained right adductor (DTD)
2010-12-16,Wizards,,John Wallace,right knee tendinitis (DNP)
2010-12-17,Blazers,,Brandon Roy,sore left knee (DNP)
2010-12-17,Raptors,,Sonny Weems,sore lower back (DNP)
2010-12-18,Blazers,,Brandon Roy,sore left knee (DNP)
2010-12-18,Blazers,,Marcus Camby,sore right shoulder (DNP)
2010-12-18,Blazers,,Nicolas Batum,sore right shoulder (DNP)
2010-12-18,Nuggets,,Chauncey Billups,torn ligament in right wrist (DNP)
2010-12-18,Spurs,,George Hill,sprained right big toe (DNP)
2010-12-19,Celtics,,Rajon Rondo,sprained left ankle (DNP)
2010-12-19,Nets,,Quinton Ross,bruised lower back (DNP)
2010-12-19,Pistons,,Richard Hamilton,upset stomach (DNP)
2010-12-19,Pistons,,Rodney Stuckey,sore left big toe (DNP)
2010-12-19,Raptors,,Andrea Bargnani,sore right ankle (DNP)
2010-12-19,Raptors,,Sonny Weems,back spasms (DNP)
2010-12-20,Blazers,,Brandon Roy,sore left knee (DNP)
2010-12-20,Blazers,,Marcus Camby,strained right shoulder (DNP)
2010-12-20,Clippers,,Craig Smith,back injury (out indefinitely)
2010-12-20,Spurs,,George Hill,sprained right big toe (DNP)
2010-12-20,Warriors,,Dan Gadzuric,strained left groin (DNP)
2010-12-20,Bucks,,Carlos Delfino,concussion (DNP)
2010-12-21,Bucks,,Carlos Delfino,concussion (DNP)
2010-12-21,Bucks,,Drew Gooden,sore left foot (DNP)
2010-12-21,Magic,,Malik Allen,sprained left ankle (DNP)
2010-12-21,Nets,,Quinton Ross,bruised lower back (DNP)
2010-12-21,Warriors,,Dan Gadzuric,strained left groin (DNP)
2010-12-22,Celtics,,Rajon Rondo,sprained left ankle (DNP)
2010-12-22,Nets,,Quinton Ross,bruised lower back (DNP)
2010-12-22,Raptors,,Jerryd Bayless,food poisoning (DNP)
2010-12-22,Raptors,,Sonny Weems,back spasms (DNP)
2010-12-22,Spurs,,George Hill,sprained right big toe (DNP)
2010-12-23,Bucks,,Carlos Delfino,concussion (DNP)
2010-12-23,Bucks,,Drew Gooden,sore left foot (DNP)
2010-12-23,Magic,,Daniel Orton,arthroscopic surgery on left knee (out for season)
2010-12-23,Spurs,,George Hill,sprained right big toe (DNP)
2010-12-25,Blazers,,Brandon Roy,sore left knee (DNP)
2010-12-25,Celtics,,Semih Erden,stomach virus (DTD)
2010-12-25,Magic,,Jason Williams,sore left foot (DNP)
2010-12-27,76ers,,Andre Iguodala,right Achilles tendinitis (DNP)
2010-12-27,Blazers,,Brandon Roy,sore left knee (DNP)
2010-12-27,Bucks,,Drew Gooden,sore left foot (DNP)
2010-12-27,Magic,,Jason Williams,sore left foot (DNP)
2010-12-27,Raptors,,Sonny Weems,back spasms (DNP)
2010-12-28,Blazers,,Brandon Roy,sore left knee (DNP)
2010-12-28,Blazers,,Marcus Camby,sprained right ankle (P) / left ankle (CBC) (DNP)
2010-12-28,Bucks,,Drew Gooden,plantar fasciitis in left foot (DNP)
2010-12-28,Magic,,Jason Williams,sore left foot (DNP)
2010-12-28,Magic,,Quentin Richardson,flu-like symptoms (DNP)
2010-12-28,Raptors,,Jose Calderon,sore ankle (DNP)
2010-12-28,Raptors,,Sonny Weems,back spasms (DNP)
2010-12-29,Cavaliers,,Maurice Williams / Mo Williams,strained left hip flexor (DNP)
2010-12-29,Celtics,,Semih Erden,upper respiratory infection (DNP)
2010-12-29,Jazz,,C.J. Miles,flu-like symptoms (DNP)
2010-12-29,Nuggets,,Kenyon Martin,sore left knee (DNP)
2010-12-29,Nuggets,,Nene / Nene Hilario / Maybyner Hilario,sore hamstring (DNP)
2010-12-30,Jazz,,C.J. Miles,flu (DNP)
2010-12-30,Jazz,,Mehmet Okur,strained lower back (DNP)
2010-12-30,Magic,,Jason Williams,sore left foot (DNP)
2010-12-30,Magic,,Quentin Richardson,flu-like symptoms (DNP)
2010-12-30,Rockets,,Chuck Hayes,sprained right ankle (out indefinitely)
2010-12-31,Cavaliers,,Anderson Varejao,fractured cheekbone (out indefinitely)
2010-12-31,Hawks,,Marvin Williams,bruised back (DTD)
2010-12-31,Nets,,Jordan Farmar,bone bruise in right knee (DNP)
2010-12-31,Raptors,,Sonny Weems,back spasms (DNP)
2010-12-31,Warriors,,Brandan Wright,strained lower back (out indefinitely)
2010-12-31,Celtics,,Rajon Rondo,sprained left ankle (DNP)
2011-01-01,Bucks,,Drew Gooden,plantar fasciitis in left foot (DNP)
2011-01-01,Cavaliers,,Daniel Gibson,bruised left thigh (DNP)
2011-01-01,Cavaliers,,Maurice Williams / Mo Williams,strained left hip flexor (DNP)
2011-01-01,Grizzlies,,Rudy Gay,stomach virus (DNP)
2011-01-01,Grizzlies,,Xavier Henry,sore right knee (DNP)
2011-01-01,Jazz,,C.J. Miles,flu-like symptoms (DNP)
2011-01-01,Mavericks,,Shawn Marion,bruised thigh (DNP)
2011-01-01,Nets,,Jordan Farmar,bone bruise in right knee (DNP)
2011-01-02,Blazers,,Brandon Roy,sore left knee (DNP)
2011-01-02,Knicks,,Timofey Mozgov,shin injury (DTD)
2011-01-02,Raptors,,Jerryd Bayless,sprained left ankle (DNP)
2011-01-02,Raptors,,Sonny Weems,back spasms (DNP)
2011-01-03,76ers,,Spencer Hawes,strained back (DNP)
2011-01-03,Knicks,,Danilo Gallinari,sprained left knee (out indefinitely)
2011-01-03,Pistons,,Chris Wilcox,groin injury (DTD)
2011-01-03,Warriors,Brandan Wright,,returned to lineup
2011-01-04,Bucks,,Drew Gooden,plantar fasciitis in left foot (DNP)
2011-01-04,Grizzlies,,O.J. Mayo,bronchitis (DNP)
2011-01-04,Grizzlies,,Xavier Henry,sore right knee (DNP)
2011-01-04,Mavericks,,Caron Butler,surgery on right knee to repair torn patella tendon (out for season)
2011-01-05,76ers,,Tony Battie,rotator cuff injury (DTD)
2011-01-05,Bobcats,,DeSagana Diop,surgery to repair ruptured right Achilles tendon (out for season)
2011-01-05,Bobcats,,Stephen Jackson,hyperextended left knee (DNP)
2011-01-05,Bucks,,Brandon Jennings,surgery on left foot (out indefinitely)
2011-01-05,Bucks,,Drew Gooden,plantar fasciitis in left foot (DNP)
2011-01-05,Jazz,,Paul Millsap,bruised right hip (DNP)
2011-01-06,Cavaliers,,Daniel Gibson,sprained left ankle (DTD)
2011-01-06,Suns,,Gani Lawal,torn ACL and partially torn MCL in right knee (out for season)
2011-01-07,Bucks,,Brandon Jennings,recovering from surgery on left foot (DNP)
2011-01-07,Bucks,,Drew Gooden,plantar fasciitis in left foot (DNP)
2011-01-07,Cavaliers,,Anderson Varejao,torn tendon in right ankle (out for season)
2011-01-07,Cavaliers,,Anthony Parker,strained lower back (DNP)
2011-01-07,Raptors,,Jerryd Bayless,sprained left ankle (DNP)
2011-01-07,Rockets,,Yao Ming,surgery on left ankle to repair stress fracture (out for season)
2011-01-07,Raptors,,Sonny Weems,back spasms (DNP)
2011-01-08,Bucks,,Andrew Bogut,virus (DNP)
2011-01-08,Bucks,,Brandon Jennings,recovering from surgery on left foot (DNP)
2011-01-08,Bucks,,Drew Gooden,plantar fasciitis in left foot (DNP)
2011-01-08,Lakers,,Matt Barnes,torn cartilage in right knee (out indefinitely)
2011-01-08,Nets,,Devin Harris,bruised right quadriceps (DNP)
2011-01-09,Cavaliers,,Anthony Parker,strained lower back (DNP)
2011-01-09,Nuggets,,Ty Lawson,strained left knee (DNP)
2011-01-09,Raptors,,Sonny Weems,back spasms (DNP)
2011-01-10,Rockets,,Brad Miller,sore right knee (DNP)
2011-01-11,Cavaliers,,Anderson Varejao,torn tendon in right ankle (DNP)
2011-01-11,Cavaliers,,Anthony Parker,strained lower back (DNP)
2011-01-11,Knicks,,Anthony Randolph,flu-like symptoms (DNP)
2011-01-11,Lakers,,Matt Barnes,surgery on right knee to repair torn lateral meniscus (out indefinitely)
2011-01-12,Bucks,,Brandon Jennings,recovering from surgery on left foot (DNP)
2011-01-12,Celtics,,Jermaine O'Neal,sore left knee (DNP)
2011-01-12,Grizzlies,,Tony Allen,sore left knee (DNP)
2011-01-12,Nets,,Anthony Morrow,strained right hamstring (DNP)
2011-01-12,Rockets,,Brad Miller,sore right knee (DNP)
2011-01-12,Warriors,,Reggie Williams,Achilles tendon injury (DTD)
2011-01-13,Heat,,LeBron James,sprained left ankle (DNP)
2011-01-13,Wizards,,Andray Blatche,sprained right shoulder (DNP)
2011-01-14,Bucks,,Brandon Jennings,recovering from surgery on left foot (DNP)
2011-01-14,Cavaliers,,Christian Eyenga,sprained right ankle (DNP)
2011-01-14,Cavaliers,,Daniel Gibson,sprained left ankle (DNP)
2011-01-14,Celtics,,Jermaine O'Neal,sore left knee (DNP)
2011-01-14,Celtics,,Kevin Garnett,strained right leg (DNP)
2011-01-14,Knicks,,Ronny Turiaf,right hip pointer (DTD)
2011-01-14,Raptors,,Leandro Barbosa,strained right hamstring (DTD)
2011-01-14,Spurs,,Matt Bonner,sore right knee (DTD)
2011-01-14,Warriors,,Brandan Wright,strained lower back (DTD)
2011-01-14,Cavaliers,,Joey Graham,strained right quadriceps (DNP)
2011-01-15,Cavaliers,,Christian Eyenga,sprained left ankle (DNP)
2011-01-15,Cavaliers,,Daniel Gibson,sprained right ankle (DNP)
2011-01-15,Cavaliers,,Joey Graham,strained right quadriceps (DNP)
2011-01-15,Grizzlies,,Tony Allen,sore left knee (DNP)
2011-01-15,Nets,,Anthony Morrow,strained right hamstring (DNP)
2011-01-15,Raptors,,Jerryd Bayless,sore/sprained left ankle (DNP)
2011-01-15,Raptors,,Leandro Barbosa,strained right hamstring (DNP)
2011-01-16,Spurs,,Matt Bonner,sore right knee (DNP)
2011-01-17,Blazers,,Brandon Roy,arthroscopic surgery on both knees (out indefinitely)
2011-01-17,Bucks,,Brandon Jennings,recovering from surgery on left foot (DNP)
2011-01-17,Bulls,,Carlos Boozer,sprained left ankle (DNP)
2011-01-17,Celtics,,Jermaine O'Neal,sore left knee (DNP)
2011-01-17,Grizzlies,,Tony Allen,sore left knee (DNP)
2011-01-17,Nets,,Anthony Morrow,strained right hamstring (DNP)
2011-01-17,Raptors,,Jerryd Bayless,sore left ankle (DNP)
2011-01-17,Raptors,,Leandro Barbosa,strained right hamstring (DNP)
2011-01-17,Raptors,,Linas Kleiza,sore right knee (DNP)
2011-01-17,Rockets,,Patrick Patterson,upper respiratory distress / flu (DNP)
2011-01-18,Bulls,,Carlos Boozer,sprained left ankle (DNP)
2011-01-19,Bucks,,Brandon Jennings,recovering from surgery on left foot (DNP)
2011-01-19,Bucks,,John Salmons,sore right hip (DNP)
2011-01-19,Celtics,,Jermaine O'Neal,sore left knee (DNP)
2011-01-19,Grizzlies,,Tony Allen,sore left knee (DNP)
2011-01-19,Raptors,,Leandro Barbosa,strained right hamstring (DNP)
2011-01-20,Bulls,,Carlos Boozer,sprained left ankle (DNP)
2011-01-20,Blazers,,Marcus Camby,arthroscopic surgery on left knee to repair torn meniscus
2011-01-20,Blazers,,Marcus Camby,recovering from arthroscopic surgery on left knee to repair torn meniscus (DNP)
2011-01-21,Bucks,,John Salmons,sore right hip (DNP)
2011-01-21,Celtics,,Jermaine O'Neal,sore left knee (DNP)
2011-01-21,Celtics,,Shaquille O'Neal,hip injury (DTD)
2011-01-21,Hornets,,Trevor Ariza,right ankle tendinitis / knee tendinitis (CBC) (DNP)
2011-01-21,Pistons,,Charlie Villanueva,sprained left ankle (DTD)
2011-01-21,Raptors,,Joey Dorsey,sore right knee (DTD)
2011-01-21,Raptors,,Leandro Barbosa,strained right hamstring (DNP)
2011-01-21,Spurs,,George Hill,sprained right thumb (DNP)
2011-01-21,Wizards,,Kirk Hinrich,sprained elbow (DTD)
2011-01-22,Blazers,,Marcus Camby,recovering from arthroscopic surgery on left knee to repair torn meniscus (DNP)
2011-01-22,Bucks,,Drew Gooden,plantar fasciitis in left foot (DNP)
2011-01-22,Bucks,,John Salmons,strained right hip (DNP)
2011-01-22,Cavaliers,,Anthony Parker,strained lower back (DNP)
2011-01-22,Celtics,,Jermaine O'Neal,sore left knee (DNP)
2011-01-22,Celtics,,Shaquille O'Neal,sore right knee (DNP)
2011-01-22,Heat,,Dwyane Wade,migraine headache (DNP)
2011-01-22,Hornets,,Trevor Ariza,right knee tendinitis (DNP)
2011-01-22,Magic,,Jason Williams,foot injury (out indefinitely)
2011-01-22,Raptors,,Joey Dorsey,strained right patella tendon (DNP)
